标题,标题1,标题2,标题3,标题4,标题5,内容,keyword
游戏数据分析师,深圳市尚游网络科技有限公司,广东省深圳市,数据分析,1-3年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据治理工程师,爱化身科技北京有限公司,广东省广州市,技术,不限,2026-07-01,"薪酬:12000-24000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
ai数据标注员,长安区森睿世纪网络技术服务中心个体工商户,河北省石家庄市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
商业数据分析师,珀莱雅化妆品股份有限公司,浙江省杭州市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
ai数据标注师,山西星辰启航信息科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据开发工程师,北京东方国信科技股份有限公司,江苏省南京市,技术,3-5年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据实施工程师,长城汽车股份有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据开发工程师,杭州东信网络技术有限公司,江西省南昌市,技术,5-10年,2026-07-01,"薪酬:13000-18000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
ai数据标注师,山西星辰启航信息科技有限公司,广东省东莞市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析师助理,厦门云瀚星辰文化有限公司,福建省厦门市,数据分析,1-3年,2026-07-01,"薪酬:7000-9000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据
仓库数据管理员,江西嘉乐嘉体育用品有限公司,江西省南昌市,技术,1-3年,2026-07-01,"薪酬:5000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据开发工程师,安徽兆尹信息科技股份有限公司,天津市,技术,5-10年,2026-07-01,"薪酬:11000-17000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
数据开发工程师,宁波觅格科技有限公司,浙江省宁波市,技术,1-3年,2026-07-01,"薪酬:8000-12000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
ai数据标注师,衡水懂得都懂网络科技有限公司,河北省衡水市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据文员统计员,潍坊浩沃机械科技有限公司,山东省潍坊市,技术,1-3年,2026-07-01,"薪酬:5000-7000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
营销数据分析师,上海亿电通网络科技有限公司,上海市,数据分析,5-10年,2026-07-01,"薪酬:15000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
临床数据管理员,北京海金格医药科技股份有限公司,北京市,技术,3-5年,2026-07-01,"薪酬:12000-17000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
市场数据分析员,上海骑形网络科技有限公司,上海市,数据分析,1-3年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
大气数据分析师,浙江嘉源合创环境科技有限公司,浙江省嘉兴市,数据分析,不限,2026-07-01,"薪酬:8000-9000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
游戏数据分析师,广州市魔幻科技有限公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
资深数据分析师,杭州柏鹿信息技术有限公司,浙江省杭州市,数据分析,5-10年,2026-07-01,"薪酬:20000-25000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
ai数据标注员,路米科技成都有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注项目员,山西星辰启航信息科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析工程师,深圳市摩恩通讯科技有限公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据线车间主任,江西省四合一电子有限公司,江西省吉安市,技术,3-5年,2026-07-01,"薪酬:5000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据治理工程师,深圳希尔智慧科技集团有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:7000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
ai数据标注员,山西星辰启航信息科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注分析师,山西星辰启航信息科技有限公司,湖北省武汉市,数据分析,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集工程师,绘芯杭州科技有限公司,贵州省贵阳市,技术,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
ai数据标注师,山西艺溪云智科技有限责任公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据洞察分析师,富途网络科技深圳有限公司,广东省深圳市,数据分析,5-10年,2026-07-01,"薪酬:25000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
淘宝闪购数据运营,南通睿恩网络科技有限公司,江苏省南通市,运营/策略,1-3年,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
机器人数据采集刚,北京星远博通信息网络有限公司,河北省邢台市,数据处理,不限,2026-07-01,"薪酬:35-60元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注项目经理,成都人瑞网络科技有限公司,北京市,数据处理,3-5年,2026-07-01,"薪酬:18000-24000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
交五险 数据采集员,河南贝熊网络科技有限公司,河南省郑州市,数据处理,不限,2026-07-01,"薪酬:5000-10000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注 单休 法休,北京云联智传科技有限公司,河北省保定市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析工程师,现代科魔上海科技有限公司,上海市,数据分析,5-10年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
高级数据分析师,广州星创品牌管理有限公司,广东省广州市,数据分析,5-10年,2026-07-01,"薪酬:15000-17000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
BI与数据工程师,宏图智能数字科技股份有限公司,四川省泸州市,技术,1-3年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
ai数据标注员,河北熵界科技有限公司,河北省石家庄市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据治理工程师,华设设计集团股份有限公司,江苏省南京市,技术,3-5年,2026-07-01,"薪酬:9000-14000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI数据标注师,山西星辰启航信息科技有限公司,浙江省绍兴市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据治理工程师,深圳希尔智慧科技集团有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:7000-9000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
AR数据标注专员,邯郸市汉腾广告有限公司,河北省邯郸市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:大专
来源:BOSS直聘",数据
数据标注控制专员,山西星辰启航信息科技有限公司,浙江省绍兴市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
医疗数据工程师,佰泽医疗投资集团有限公司,北京市,技术,3-5年,2026-07-01,"薪酬:20000-29000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
资深数据分析专家,湖南鸣鸣很忙商业连锁股份有限公司,湖南省长沙市,数据分析,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
奶牛养殖场数据员,内蒙古金石牧业有限公司,内蒙古自治区乌兰察布市,技术,3-5年,2026-07-01,"薪酬:6000-7000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
AI数据产品经理,北京小米移动软件有限公司,北京市,算法/AI,5-10年,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
服装商品数据分析,衡阳市石鼓区蜜袖女装店个体工商户,湖南省衡阳市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:高中
经验:1-3年
来源:BOSS直聘",数据
产品开发数据分析,武汉康信鼎泰科技有限公司,湖北省武汉市,数据分析,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据库开发工程师,深圳市易鹏达科技有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:4000-7000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据审核  上五休二,玖安天下南阳科技有限公司,河南省南阳市,技术,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
电商数据分析专员,苏州萤火虫信息科技有限公司,江苏省苏州市,数据分析,3-5年,2026-07-01,"薪酬:9000-12000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
机器人数据采集员,武汉麻小袋科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:4000-7000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
大模型数据工程师,传播大脑科技浙江股份有限公司,浙江省杭州市,技术,3-5年,2026-07-01,"薪酬:15000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI大数据分析师,上海益猿科技有限公司,上海市,数据分析,不限,2026-07-01,"薪酬:6000-8000元/月
学历:本科
来源:BOSS直聘",数据
高级数据产品经理,钛动科技股份有限公司,浙江省杭州市,产品,3-5年,2026-07-01,"薪酬:30000-55000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据内容标注专员,山西星辰启航信息科技有限公司,浙江省绍兴市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据应用研发专家,上海得物信息集团有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:35000-60000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
自动驾驶数据审核,山西艺溪云智科技有限责任公司,浙江省绍兴市,技术,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据中心项目经理,新同方江苏智能科技有限公司,江苏省南京市,技术,10年以上,2026-07-01,"薪酬:8000-10000元/月
学历:不限
经验:10年以上
来源:BOSS直聘",数据
航空数据产品经理,四川赫尔墨斯航空科技股份有限公司,四川省成都市,产品,3-5年,2026-07-01,"薪酬:13000-25000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据统计分析专员,新疆京泓汽车销售服务有限公司,新疆维吾尔自治区乌鲁木齐市,数据分析,3-5年,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据科学家-用增,上海得物信息集团有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:40000-60000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
AI数据处理专员,河北众贤网络科技有限公司,河北省石家庄市,算法/AI,不限,2026-07-01,"薪酬:4000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
新媒体数据统计员,甘肃捷联汽车销售服务有限公司庆城分公司,甘肃省庆阳市,技术,不限,2026-07-01,"薪酬:3000-7000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
AI数据标注（美学方向+接受小白+双休）,泉行智数郑州科技有限公司,河南省郑州市,算法/AI,不限,2026-07-01,"薪酬:4000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注项目经理,成都小咖邦智能科技有限公司,四川省成都市,数据处理,1-3年,2026-07-01,"薪酬:9000-14000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
美学数据标注/无压力/无销售/无打电话/坐班,河北航数科技有限公司,山西省太原市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
全国出差数据采集,洛阳创合信息咨询有限公司,河南省洛阳市,数据处理,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
全国出差数据采集,洛阳创合信息咨询有限公司,河南省洛阳市,数据处理,1-3年,2026-07-01,"薪酬:8000-13000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
语音大模型数据专家,北京智谱华章科技股份有限公司,北京市,技术,不限,2026-07-01,"薪酬:30000-60000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
SUN-数据运营,广州库洛科技有限公司,广东省广州市,运营/策略,3-5年,2026-07-01,"薪酬:20000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
初级数据开发工程师,北京云端微服科技有限公司,海南省海口市,技术,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
机器人数据采集员,武汉麻小袋科技有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:4000-5000元/月
学历:中专/中技
经验:不限
来源:BOSS直聘",数据
私域运营数据分析,合肥御茵贸易有限公司,安徽省合肥市,数据分析,不限,2026-07-01,"薪酬:20000-25000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据科学（用增）,上海得物信息集团有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:30000-55000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
电商数据开发主管,思念食品有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:11000-18000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据标注操作专员,山西星辰启航信息科技有限公司,浙江省绍兴市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
资深业务数据产品,网易杭州网络有限公司,浙江省杭州市,产品,5-10年,2026-07-01,"薪酬:30000-50000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
表格制作/数据处理,衡阳市蒸湘区宸柏电商工作室,湖南省衡阳市,技术,不限,2026-07-01,"薪酬:1000-5000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
中高级数据分析师,深圳市赛恩特信息科技有限公司,广东省深圳市,数据分析,3-5年,2026-07-01,"薪酬:8000-13000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
资深数据开发工程师,北银金融科技有限责任公司,江西省南昌市,技术,3-5年,2026-07-01,"薪酬:11000-15000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
高级数据仓库工程师,北京字跳网络技术有限公司,北京市,技术,不限,2026-07-01,"薪酬:30000-60000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
大气数据分析工程师,保定市初森环保科技有限公司,河北省保定市,数据分析,不限,2026-07-01,"薪酬:5000-7000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据科学家-商业化,北京字跳网络技术有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:30000-50000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据分析师(电商),杭州董家创新智能设计有限公司,浙江省杭州市,数据分析,3-5年,2026-07-01,"薪酬:15000-25000元/月
学历:不限
经验:3-5年
来源:BOSS直聘",数据
数据标注-项目经理,成都小咖邦智能科技有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:9000-14000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据分析师（云浮）,政通智慧城市运营科技有限公司广州第二分公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
自动驾驶数据标注员,深圳市华腾瑞驰电子有限公司,湖北省武汉市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
遥感数据处理工程师,北斗智通成都科技有限公司,四川省成都市,技术,1-3年,2026-07-01,"薪酬:3000-5000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据中心电气工程师,吉林吉大通信设计院股份有限公司,吉林省长春市,技术,1-3年,2026-07-01,"薪酬:7000-11000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据采集员（昆山）,江苏财酷大数据科技有限公司,江苏省苏州市,数据处理,不限,2026-07-01,"薪酬:500-2100元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据分析师（广州）,政通智慧城市运营科技有限公司广州第二分公司,广东省广州市,数据分析,3-5年,2026-07-01,"薪酬:9000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
高级数据分析工程师,北京金风科创风电设备有限公司,北京市,数据分析,3-5年,2026-07-01,"薪酬:15000-20000元/月
学历:硕士
经验:3-5年
来源:BOSS直聘",数据
急招大厂数据分析师,山西鸿联九五信息服务有限公司,山西省长治市,数据分析,1-3年,2026-07-01,"薪酬:6000-9000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
高级数据仓库工程师,上海哔哩哔哩科技有限公司,上海市,技术,1-3年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
IT系统主数据专员,深圳市茉莉奶白餐饮管理有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:6000-9000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据采集-人工智能,博彦科技承德有限公司,北京市,数据处理,不限,2026-07-01,"薪酬:8000-10000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据安全服务工程师,上海观安信息技术股份有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:12000-16000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
大气数据分析工程师,河北恒儒环保科技有限公司,河北省沧州市,数据分析,1-3年,2026-07-01,"薪酬:5000-8000元/月
学历:不限
经验:1-3年
来源:BOSS直聘",数据
（业务型）数据主管,南京万好供应链管理有限公司,江苏省苏州市,技术,1-3年,2026-07-01,"薪酬:10000-14000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
具身数据处理工程师,蜂云时代科技有限公司,广东省深圳市,技术,1-3年,2026-07-01,"薪酬:15000-25000元/月
学历:硕士
经验:1-3年
来源:BOSS直聘",数据
数据标注/AI训练师,北京集纳盛广网络科技有限公司,河北省保定市,算法/AI,不限,2026-07-01,"薪酬:3000-4000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
具身智能数据生成研发工程师（具身场景）,跨维深圳智能数字科技有限公司,广东省深圳市,技术,不限,2026-07-01,"薪酬:25000-50000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据平台开发工程师,广东汇天航空航天科技有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:20000-35000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
算法数据开发工程师,北京达佳互联信息技术有限公司,北京市,技术,1-3年,2026-07-01,"薪酬:40000-70000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
BA*数据产品经理,柯莱特信息技术有限公司,河南省漯河市,产品,不限,2026-07-01,"薪酬:15000-17000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
高级货品数据分析师,南京百音高科技有限公司,江苏省南京市,数据分析,1-3年,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据机房机电工程师,中软国际科技服务有限公司,,技术,5-10年,2026-07-01,"薪酬:15000-30000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据机房机电工程师,中软国际科技服务有限公司,,技术,5-10年,2026-07-01,"薪酬:20000-30000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
中级数据开发工程师,上海申美信息科技有限公司,安徽省芜湖市,技术,3-5年,2026-07-01,"薪酬:11000-14000元/月
学历:大专
经验:3-5年
来源:BOSS直聘",数据
数据标注/AI训练师,山西福瑞阁文化科技有限公司,浙江省绍兴市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,绍兴市杰尼赛思信息科技有限公司,山西省临汾市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
资深数据BP/专家,网易杭州网络有限公司,浙江省杭州市,技术,5-10年,2026-07-01,"薪酬:30000-60000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
用户增长数据分析师,深圳希音信息技术有限公司,上海市,数据分析,3-5年,2026-07-01,"薪酬:25000-40000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据机房机电工程师,中软国际科技服务有限公司,,技术,5-10年,2026-07-01,"薪酬:20000-30000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据中心电工值班员,武汉本物科技股份有限公司,湖北省武汉市,技术,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
海外监管数据上报岗,上海腾桥信息技术有限公司,上海市,技术,3-5年,2026-07-01,"薪酬:20000-30000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据标注/ai训练师,内蒙古大学生创业联合会,内蒙古自治区呼和浩特市,数据处理,不限,2026-07-01,"薪酬:4000-9000元/月
学历:大专
来源:BOSS直聘",数据
北京机器人数据采集员,北京集纳盛广网络科技有限公司,北京市,数据处理,不限,2026-07-01,"薪酬:170-180元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/ai训练师,广州无添加主义化妆品有限公司,广东省广州市,数据处理,1-3年,2026-07-01,"薪酬:24000-30000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
gis数据处理工程师,内蒙古泽西建设有限公司,内蒙古自治区呼和浩特市,技术,1-3年,2026-07-01,"薪酬:6000-8000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
GIS数据实施工程师,北京飞渡科技股份有限公司,湖北省武汉市,技术,3-5年,2026-07-01,"薪酬:5000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据标注/AI训练师,绍兴市杰尼赛思信息科技有限公司,内蒙古自治区呼和浩特市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注（项目经理）,长沙笠川科技有限公司,湖南省长沙市,数据处理,1-3年,2026-07-01,"薪酬:8000-10000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据分析专员（单休）,江苏常阳科技有限公司,江苏省常州市,数据分析,1-3年,2026-07-01,"薪酬:5000-6000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
银行信贷专员  实时数据,杭州浩渤信息科技有限公司,浙江省杭州市,技术,不限,2026-07-01,"薪酬:15000-30000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,广西玛邦网络科技有限公司,广西壮族自治区南宁市,算法/AI,不限,2026-07-01,"薪酬:4000-5000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
项目助理（数据标注）,路米科技成都有限公司,四川省成都市,数据处理,不限,2026-07-01,"薪酬:4000-6000元/月
学历:本科
来源:BOSS直聘",数据
数据标注/AI训练师,山西艺溪云智科技有限责任公司,湖北省武汉市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西星辰启航信息科技有限公司,浙江省嘉兴市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西福瑞阁文化科技有限公司,湖北省武汉市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,安徽中科天辰科技有限公司,安徽省合肥市,算法/AI,不限,2026-07-01,"薪酬:3000-5000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据标注/AI训练师,山西星辰启航信息科技有限公司,山西省太原市,算法/AI,不限,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据与AI应用负责人,杭州麓灵科技有限公司,浙江省杭州市,算法/AI,5-10年,2026-07-01,"薪酬:28000-35000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
智驾安全员/数据采集,合肥市方彻科技合伙企业有限合伙,江苏省苏州市,数据处理,5-10年,2026-07-01,"薪酬:9000-14000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据标注/AI训练师,临汾市尧都高新技术产业开发区盛捷信息技术有限公司,河北省唐山市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
大模型开发数据训练师,潍坊元启信息科技有限公司,山东省潍坊市,技术,不限,2026-07-01,"薪酬:5000-8000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
智驾安全员/数据采集,合肥市方彻科技合伙企业有限合伙,上海市,数据处理,5-10年,2026-07-01,"薪酬:7000-12000元/月
学历:大专
经验:5-10年
来源:BOSS直聘",数据
数据运营（商品专员）,西安怡康医药连锁有限责任公司,陕西省汉中市,运营/策略,1-3年,2026-07-01,"薪酬:4000-5000元/月
学历:大专
经验:1-3年
来源:BOSS直聘",数据
数据标注/AI训练师,定州青葵科技有限公司,宁夏回族自治区银川市,算法/AI,不限,2026-07-01,"薪酬:3000-5000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
机器人数据运营工程师,北京银河通用机器人股份有限公司,北京市,技术,1-3年,2026-07-01,"薪酬:12000-20000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
GIS数据处理工程师,北京飞渡科技股份有限公司,湖北省武汉市,技术,3-5年,2026-07-01,"薪酬:5000-10000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
数据标注/AI训练师,四川新恒晟科技有限公司,四川省南充市,算法/AI,不限,2026-07-01,"薪酬:3000-8000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据采集员-无需经验,北京鼎丰可翔餐饮有限公司,河南省安阳市,数据处理,不限,2026-07-01,"薪酬:3000-4000元/月
学历:不限
经验:不限
来源:BOSS直聘",数据
航空数据库后端工程师,四川赫尔墨斯航空科技股份有限公司,四川省成都市,技术,3-5年,2026-07-01,"薪酬:12000-22000元/月
学历:本科
经验:3-5年
来源:BOSS直聘",数据
三维建模与数据工程师,四川云联信创科技有限公司,四川省成都市,技术,1-3年,2026-07-01,"薪酬:7000-12000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据标注/AI训练师,山西艺溪云智科技有限责任公司,山西省运城市,算法/AI,不限,2026-07-01,"薪酬:3000-6000元/月
学历:大专
经验:不限
来源:BOSS直聘",数据
数据标注/ai训练师,陕西飞欧乐鑫信息服务有限公司,陕西省宝鸡市,数据处理,不限,2026-07-01,"薪酬:3000-6000元/月
学历:本科
经验:不限
来源:BOSS直聘",数据
数据分析与治理工程师,新航道北京管理咨询有限公司,湖南省长沙市,数据分析,1-3年,2026-07-01,"薪酬:12000-18000元/月
学历:本科
经验:1-3年
来源:BOSS直聘",数据
数据开发（需要出差）,东华软件股份公司大连分公司,甘肃省兰州市,技术,5-10年,2026-07-01,"薪酬:10000-14000元/月
学历:本科
经验:5-10年
来源:BOSS直聘",数据
